Protocollo,DataOraIncidente,Localizzazione1,STRADA1,Localizzazione2,STRADA2,Strada02,Chilometrica,DaSpecificare,Longitude,Latitude
5468537,2021-06-16T08:45:00Z,Strada Urbana,VIA DI S. CLETO PAPA,all'intersezione con,VIA ALESSANDRO VII,VIA ALESSANDRO VII,,,12.4229,41.9226
5468431,2021-06-16T09:15:00Z,Strada Urbana,VIA GIULIO ARISTIDE SARTORIO,all'intersezione con,VIA FRANCESCO GIANGIACOMO,VIA FRANCESCO GIANGIACOMO,,,12.5061,41.8533
5468399,2021-06-16T10:00:00Z,Statale entro l'abitato,VIA CASILINA,all'intersezione con,VIA CARLO SANTARELLI,VIA CARLO SANTARELLI,,,12.6079,41.864
5467268,2021-06-16T10:05:00Z,Strada Urbana,CIRCONVALLAZIONE CLODIA,all'intersezione con,VIA FASANA,VIA FASANA,,,12.4572,41.9196
5468989,2021-06-16T10:15:00Z,Strada Urbana,PIAZZALE NUMA POMPILIO,all'intersezione semaforizzata con,LARGO DELLE TERME DI CARACALLA,LARGO DELLE TERME DI CARACALLA,,,,
5467952,2021-06-16T11:10:00Z,Strada Urbana,VIA RENZO ROSSI,all'intersezione con,VIA DEI DURANTINI,VIA DEI DURANTINI,,,12.5425,41.9093
5467857,2021-06-16T14:00:00Z,Strada Urbana,VIALE GIULIO CESARE,all'intersezione con,VIA ALESSANDRO FARNESE,VIA ALESSANDRO FARNESE,,,12.4674,41.9115
5470607,2021-06-16T15:10:00Z,Strada Urbana,VIA NOMENTANA,all'intersezione semaforizzata con,VIALE VENTUNO APRILE,VIALE VENTUNO APRILE,,,12.5169,41.9197
5467556,2021-06-16T15:15:00Z,Strada Urbana,VIA ASCONIO PEDIANO,all'intersezione con,VIA CINCINNATO,VIA CINCINNATO,,,12.5485,41.8662
5468785,2021-06-16T15:50:00Z,Strada Urbana,VIA RAFFAELE ROSSETTI,all'intersezione con,VIA MARIO AMATO,VIA MARIO AMATO,,,12.4507,41.9154
5471112,2021-06-16T16:05:00Z,Strada Urbana,VIALE DELL'UNIVERSITA',all'intersezione con,VIA ALFONSO BORELLI,VIA ALFONSO BORELLI,,,12.5166,41.9064
5468482,2021-06-16T16:45:00Z,Strada Urbana,VIA OSTIENSE,all'intersezione con,VIA ALBI,VIA ALBI,,,12.4229,41.8109
